Reports,Count
2/28/2017 0:00,269
1/31/2017 0:00,310
12/31/2016 0:00,333
11/30/2016 0:00,480
10/31/2016 0:00,473
9/30/2016 0:00,583
8/31/2016 0:00,543
7/31/2016 0:00,674
6/30/2016 0:00,419
5/31/2016 0:00,377
4/30/2016 0:00,381
3/31/2016 0:00,406
2/29/2016 0:00,424
1/31/2016 0:00,411
12/31/2015 0:00,433
11/30/2015 0:00,900
10/31/2015 0:00,647
9/30/2015 0:00,721
8/31/2015 0:00,616
7/31/2015 0:00,727
6/30/2015 0:00,478
5/31/2015 0:00,460
4/30/2015 0:00,446
3/31/2015 0:00,475
2/28/2015 0:00,332
1/31/2015 0:00,519
12/31/2014 0:00,522
11/30/2014 0:00,544
10/31/2014 0:00,786
9/30/2014 0:00,829
8/31/2014 0:00,922
7/31/2014 0:00,1096
6/30/2014 0:00,776
5/31/2014 0:00,652
4/30/2014 0:00,666
3/31/2014 0:00,517
2/28/2014 0:00,554
1/31/2014 0:00,715
12/31/2013 0:00,767
11/30/2013 0:00,806
10/31/2013 0:00,792
9/30/2013 0:00,791
8/31/2013 0:00,919
7/31/2013 0:00,976
6/30/2013 0:00,635
5/31/2013 0:00,537
4/30/2013 0:00,428
3/31/2013 0:00,399
2/28/2013 0:00,284
1/31/2013 0:00,397
12/31/2012 0:00,672
11/30/2012 0:00,781
10/31/2012 0:00,677
9/30/2012 0:00,773
8/31/2012 0:00,905
7/31/2012 0:00,937
6/30/2012 0:00,762
5/31/2012 0:00,521
4/30/2012 0:00,500
3/31/2012 0:00,537
2/29/2012 0:00,395
1/31/2012 0:00,586
12/31/2011 0:00,534
11/30/2011 0:00,445
10/31/2011 0:00,644
9/30/2011 0:00,558
8/31/2011 0:00,644
7/31/2011 0:00,767
6/30/2011 0:00,404
5/31/2011 0:00,320
4/30/2011 0:00,318
3/31/2011 0:00,334
2/28/2011 0:00,275
1/31/2011 0:00,329
12/31/2010 0:00,307
11/30/2010 0:00,366
10/31/2010 0:00,476
9/30/2010 0:00,451
8/31/2010 0:00,531
7/31/2010 0:00,846
6/30/2010 0:00,386
5/31/2010 0:00,333
4/30/2010 0:00,296
3/31/2010 0:00,262
2/28/2010 0:00,189
1/31/2010 0:00,293
12/31/2009 0:00,293
11/30/2009 0:00,324
10/31/2009 0:00,323
9/30/2009 0:00,600
8/31/2009 0:00,502
7/31/2009 0:00,614
6/30/2009 0:00,390
5/31/2009 0:00,360
4/30/2009 0:00,318
3/31/2009 0:00,341
2/28/2009 0:00,397
1/31/2009 0:00,499
12/31/2008 0:00,350
11/30/2008 0:00,459
10/31/2008 0:00,534
9/30/2008 0:00,385
8/31/2008 0:00,505
